trial_type,trial_index,time_elapsed,internal_node_id,subject,hitId,assignmentId,structure_condition,match_condition,noise_type,success,timeout,failed_images,failed_audio,failed_video,view_history,rt,start_time,end_time,stimuli,image1,image2,image3,image4,choiceLocation,choiceImage,choiceEmotion,choiceModel,choice_index,reward_score,reward,reward_score_unadjusted,reward_image,score_after_trial,emotions,models,rewards,rewards_unadjusted,stimulus,response,question_order,file_name,n
explore-choice,180,414496,0.0-180.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,890,414197,415087,"[""stimuli/WF14_DO.jpg"",""stimuli/BM04_HE.jpg"",""stimuli/HM10_FO.jpg"",""stimuli/AF02_CC.jpg""]",stimuli/WF14_DO.jpg,stimuli/BM04_HE.jpg,stimuli/HM10_FO.jpg,stimuli/AF02_CC.jpg,pos4,stimuli/AF02_CC.jpg,CC,AF02,3,4,8,6,stimuli/stars_8.png,232.5,"[""DO"",""HE"",""FO"",""CC""]","[""WF14"",""BM04"",""HM10"",""AF02""]","[6,5,1,8]","[8,4,2,6]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,181,416498,0.0-181.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,415589,417590.00000000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,stimuli/stars_8.png,232.5,NA,NA,NA,NA,stimuli/AF02_CC.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,182,417638,0.0-182.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,638,417592,418230,"[""stimuli/AF02_FO.jpg"",""stimuli/HM10_CC.jpg"",""stimuli/BM04_HE.jpg"",""stimuli/WF14_DO.jpg""]",stimuli/AF02_FO.jpg,stimuli/HM10_CC.jpg,stimuli/BM04_HE.jpg,stimuli/WF14_DO.jpg,pos4,stimuli/WF14_DO.jpg,DO,WF14,3,4.5,9,8,stimuli/stars_9.png,237,"[""FO"",""CC"",""HE"",""DO""]","[""AF02"",""HM10"",""BM04"",""WF14""]","[0,4,6,9]","[2,6,4,8]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,183,419643,0.0-183.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,418733,420735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,stimuli/stars_9.png,237,NA,NA,NA,NA,stimuli/WF14_DO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,184,420739,0.0-184.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,595,420736,421331,"[""stimuli/WF14_CC.jpg"",""stimuli/AF02_DO.jpg"",""stimuli/HM10_FO.jpg"",""stimuli/BM04_HE.jpg""]",stimuli/WF14_CC.jpg,stimuli/AF02_DO.jpg,stimuli/HM10_FO.jpg,stimuli/BM04_HE.jpg,pos4,stimuli/BM04_HE.jpg,HE,BM04,3,1,2,4,stimuli/stars_2.png,238,"[""CC"",""DO"",""FO"",""HE""]","[""WF14"",""AF02"",""HM10"",""BM04""]","[8,9,4,2]","[6,8,2,4]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,185,422742,0.0-185.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,421832,423834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,stimuli/stars_2.png,238,NA,NA,NA,NA,stimuli/BM04_HE.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,186,424012,0.0-186.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,767,423835.00000000006,424602.00000000006,"[""stimuli/AF02_HE.jpg"",""stimuli/HM10_CC.jpg"",""stimuli/WF14_DO.jpg"",""stimuli/BM04_FO.jpg""]",stimuli/AF02_HE.jpg,stimuli/HM10_CC.jpg,stimuli/WF14_DO.jpg,stimuli/BM04_FO.jpg,pos4,stimuli/BM04_FO.jpg,FO,BM04,3,0.5,1,2,stimuli/stars_1.png,238.5,"[""HE"",""CC"",""DO"",""FO""]","[""AF02"",""HM10"",""WF14"",""BM04""]","[6,8,8,1]","[4,6,8,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,187,426015,0.0-187.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,425105,427107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,stimuli/stars_1.png,238.5,NA,NA,NA,NA,stimuli/BM04_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
explore-choice,188,427140,0.0-188.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,621.9999999999418,427109.00000000006,427731,"[""stimuli/HM10_HE.jpg"",""stimuli/BM04_DO.jpg"",""stimuli/WF14_CC.jpg"",""stimuli/AF02_FO.jpg""]",stimuli/HM10_HE.jpg,stimuli/BM04_DO.jpg,stimuli/WF14_CC.jpg,stimuli/AF02_FO.jpg,pos4,stimuli/AF02_FO.jpg,FO,AF02,3,2,4,2,stimuli/stars_4.png,240.5,"[""HE"",""DO"",""CC"",""FO""]","[""HM10"",""BM04"",""WF14"",""AF02""]","[3,10,7,4]","[4,8,6,2]",NA,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
show-reward,189,429144,0.0-189.0,p502299,emogo,test_session,model,mismatch,uniform,NA,NA,NA,NA,NA,NA,NA,428233,430235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,stimuli/stars_4.png,240.5,NA,NA,NA,NA,stimuli/AF02_FO.jpg,NA,NA,/Users/martinzettersten/GitHub/emogo/data-analysis/data/pilot-v1/raw/emogo-v1_PARTICIPANT_SESSION_2022-08-23_14h20.00.17.csv,206
