"trial_type","trial_index","time_elapsed","internal_node_id","subject","workerId","hitId","assignmentId","structure_condition","match_condition","noise_type","success","timeout","failed_images","failed_audio","failed_video","view_history","rt","start_time","end_time","stimuli","image1","image2","image3","image4","choiceLocation","choiceImage","choiceEmotion","choiceModel","choice_index","reward_score","reward","reward_score_unadjusted","reward_image","score_after_trial","emotions","models","rewards","rewards_unadjusted","stimulus"
"show-reward","62","1019993","0.0-62.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1019508.3999999985","1021511.299999997","","","","","","","","","","","","7","","stimuli/stars_7.png","93","","","","","stimuli/AM06_SC.jpg"
"explore-choice","63","1056194","0.0-63.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","35696.59999999404","1021513","1057209.599999994","[""stimuli/AM06_HO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/AM06_HO.jpg","stimuli/HM07_SUR.jpg","stimuli/BM16_SC.jpg","stimuli/HF09_CC.jpg","pos3","stimuli/BM16_SC.jpg","SC","BM16","2","3","6","8","stimuli/stars_6.png","96","[""HO"",""SUR"",""SC"",""CC""]","[""AM06"",""HM07"",""BM16"",""HF09""]","[0,6,6,2]","[2,6,8,4]",""
"show-reward","64","1058199","0.0-64.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1057716.099999994","1059719.3999999985","","","","","","","","","","","","6","","stimuli/stars_6.png","96","","","","","stimuli/BM16_SC.jpg"
"explore-choice","65","1061048","0.0-65.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2341.1999999955297","1059720.8999999985","1062062.099999994","[""stimuli/BM16_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/HM07_CC.jpg""]","stimuli/BM16_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/HF09_HO.jpg","stimuli/HM07_CC.jpg","pos1","stimuli/BM16_SC.jpg","SC","BM16","0","4.5","9","8","stimuli/stars_9.png","100.5","[""SC"",""SUR"",""HO"",""CC""]","[""BM16"",""AM06"",""HF09"",""HM07""]","[9,8,3,6]","[8,6,2,4]",""
"show-reward","66","1063054","0.0-66.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1062570.3999999985","1064575.099999994","","","","","","","","","","","","9","","stimuli/stars_9.png","100.5","","","","","stimuli/BM16_SC.jpg"
"explore-choice","67","1065073","0.0-67.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","1515.7000000029802","1064576.6999999955","1066092.3999999985","[""stimuli/HM07_CC.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/BM16_SC.jpg"",""stimuli/AM06_HO.jpg""]","stimuli/HM07_CC.jpg","stimuli/HF09_SUR.jpg","stimuli/BM16_SC.jpg","stimuli/AM06_HO.jpg","pos3","stimuli/BM16_SC.jpg","SC","BM16","2","5","10","8","stimuli/stars_10.png","105.5","[""CC"",""SUR"",""SC"",""HO""]","[""HM07"",""HF09"",""BM16"",""AM06""]","[2,7,10,2]","[4,6,8,2]",""
"show-reward","68","1067079","0.0-68.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1066595.299999997","1068600.3999999985","","","","","","","","","","","","10","","stimuli/stars_10.png","105.5","","","","","stimuli/BM16_SC.jpg"
"explore-choice","69","1069869","0.0-69.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2287.89999999851","1068602","1070889.8999999985","[""stimuli/BM16_CC.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AM06_SUR.jpg"",""stimuli/HF09_HO.jpg""]","stimuli/BM16_CC.jpg","stimuli/HM07_SC.jpg","stimuli/AM06_SUR.jpg","stimuli/HF09_HO.jpg","pos2","stimuli/HM07_SC.jpg","SC","HM07","1","4","8","8","stimuli/stars_8.png","109.5","[""CC"",""SC"",""SUR"",""HO""]","[""BM16"",""HM07"",""AM06"",""HF09""]","[3,8,8,2]","[4,8,6,2]",""
"show-reward","70","1071876","0.0-70.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1071392.299999997","1073397.299999997","","","","","","","","","","","","8","","stimuli/stars_8.png","109.5","","","","","stimuli/HM07_SC.jpg"
"explore-choice","71","1076733","0.0-71.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","4354.29999999702","1073399","1077753.299999997","[""stimuli/HM07_CC.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/BM16_SUR.jpg"",""stimuli/HF09_SC.jpg""]","stimuli/HM07_CC.jpg","stimuli/AM06_HO.jpg","stimuli/BM16_SUR.jpg","stimuli/HF09_SC.jpg","pos4","stimuli/HF09_SC.jpg","SC","HF09","3","3.5","7","8","stimuli/stars_7.png","113","[""CC"",""HO"",""SUR"",""SC""]","[""HM07"",""AM06"",""BM16"",""HF09""]","[3,3,6,7]","[4,2,6,8]",""
"show-reward","72","1078739","0.0-72.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1078257","1080260.6999999955","","","","","","","","","","","","7","","stimuli/stars_7.png","113","","","","","stimuli/HF09_SC.jpg"
"explore-choice","73","1082160","0.0-73.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2919.10000000149","1080262.3999999985","1083181.5","[""stimuli/BM16_SUR.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/BM16_SUR.jpg","stimuli/AM06_HO.jpg","stimuli/HM07_SC.jpg","stimuli/HF09_CC.jpg","pos3","stimuli/HM07_SC.jpg","SC","HM07","2","5","10","8","stimuli/stars_10.png","118","[""SUR"",""HO"",""SC"",""CC""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[7,4,10,2]","[6,2,8,4]",""
"show-reward","74","1084172","0.0-74.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1083683.6999999955","1085693.599999994","","","","","","","","","","","","10","","stimuli/stars_10.png","118","","","","","stimuli/HM07_SC.jpg"
"explore-choice","75","1226267","0.0-75.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","141600.3999999985","1085695.3999999985","1227295.799999997","[""stimuli/HM07_SC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/BM16_SUR.jpg""]","stimuli/HM07_SC.jpg","stimuli/HF09_HO.jpg","stimuli/AM06_CC.jpg","stimuli/BM16_SUR.jpg","pos1","stimuli/HM07_SC.jpg","SC","HM07","0","3","6","8","stimuli/stars_6.png","121","[""SC"",""HO"",""CC"",""SUR""]","[""HM07"",""HF09"",""AM06"",""BM16""]","[6,1,5,8]","[8,2,4,6]",""
"show-reward","76","1228273","0.0-76.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1227799.1999999955","1229803.3999999985","","","","","","","","","","","","6","","stimuli/stars_6.png","121","","","","","stimuli/HM07_SC.jpg"
"explore-choice","77","1356947","0.0-77.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","128177.60000000149","1229804.799999997","1357982.3999999985","[""stimuli/BM16_SC.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/BM16_SC.jpg","stimuli/AM06_CC.jpg","stimuli/HM07_HO.jpg","stimuli/HF09_SUR.jpg","pos1","stimuli/BM16_SC.jpg","SC","BM16","0","5","10","8","stimuli/stars_10.png","126","[""SC"",""CC"",""HO"",""SUR""]","[""BM16"",""AM06"",""HM07"",""HF09""]","[10,5,4,6]","[8,4,2,6]",""
"show-reward","78","1358951","0.0-78.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1358486.599999994","1360489.1999999955","","","","","","","","","","","","10","","stimuli/stars_10.png","126","","","","","stimuli/BM16_SC.jpg"
"explore-choice","79","1361769","0.0-79.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2309.6999999955297","1360490.8999999985","1362800.599999994","[""stimuli/HM07_HO.jpg"",""stimuli/HF09_SC.jpg"",""stimuli/BM16_CC.jpg"",""stimuli/AM06_SUR.jpg""]","stimuli/HM07_HO.jpg","stimuli/HF09_SC.jpg","stimuli/BM16_CC.jpg","stimuli/AM06_SUR.jpg","pos2","stimuli/HF09_SC.jpg","SC","HF09","1","3.5","7","8","stimuli/stars_7.png","129.5","[""HO"",""SC"",""CC"",""SUR""]","[""HM07"",""HF09"",""BM16"",""AM06""]","[2,7,2,5]","[2,8,4,6]",""
"show-reward","80","1363775","0.0-80.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1363309","1365313","","","","","","","","","","","","7","","stimuli/stars_7.png","129.5","","","","","stimuli/HF09_SC.jpg"
"explore-choice","81","1366921","0.0-81.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2640.10000000149","1365317.599999994","1367957.6999999955","[""stimuli/AM06_SC.jpg"",""stimuli/HM07_CC.jpg"",""stimuli/HF09_HO.jpg"",""stimuli/BM16_SUR.jpg""]","stimuli/AM06_SC.jpg","stimuli/HM07_CC.jpg","stimuli/HF09_HO.jpg","stimuli/BM16_SUR.jpg","pos1","stimuli/AM06_SC.jpg","SC","AM06","0","3","6","8","stimuli/stars_6.png","132.5","[""SC"",""CC"",""HO"",""SUR""]","[""AM06"",""HM07"",""HF09"",""BM16""]","[6,5,1,6]","[8,4,2,6]",""
"show-reward","82","1368927","0.0-82.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1368460.6999999955","1370465.6999999955","","","","","","","","","","","","6","","stimuli/stars_6.png","132.5","","","","","stimuli/AM06_SC.jpg"
"explore-choice","83","1373384","0.0-83.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3951.10000000149","1370467.1999999955","1374418.299999997","[""stimuli/BM16_HO.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HF09_SUR.jpg""]","stimuli/BM16_HO.jpg","stimuli/HM07_SC.jpg","stimuli/AM06_CC.jpg","stimuli/HF09_SUR.jpg","pos2","stimuli/HM07_SC.jpg","SC","HM07","1","4.5","9","8","stimuli/stars_9.png","137","[""HO"",""SC"",""CC"",""SUR""]","[""BM16"",""HM07"",""AM06"",""HF09""]","[3,9,3,6]","[2,8,4,6]",""
"show-reward","84","1375393","0.0-84.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1374924.5","1376931.799999997","","","","","","","","","","","","9","","stimuli/stars_9.png","137","","","","","stimuli/HM07_SC.jpg"
"explore-choice","85","1385799","0.0-85.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","9902.89999999851","1376933.5","1386836.3999999985","[""stimuli/HF09_CC.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/AM06_SC.jpg"",""stimuli/BM16_HO.jpg""]","stimuli/HF09_CC.jpg","stimuli/HM07_SUR.jpg","stimuli/AM06_SC.jpg","stimuli/BM16_HO.jpg","pos3","stimuli/AM06_SC.jpg","SC","AM06","2","4","8","8","stimuli/stars_8.png","141","[""CC"",""SUR"",""SC"",""HO""]","[""HF09"",""HM07"",""AM06"",""BM16""]","[6,4,8,0]","[4,6,8,2]",""
"show-reward","86","1387807","0.0-86.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1387340.8999999985","1389346.799999997","","","","","","","","","","","","8","","stimuli/stars_8.png","141","","","","","stimuli/AM06_SC.jpg"
"explore-choice","87","1394835","0.0-87.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","6525.39999999851","1389348.3999999985","1395873.799999997","[""stimuli/AM06_SUR.jpg"",""stimuli/HM07_SC.jpg"",""stimuli/BM16_HO.jpg"",""stimuli/HF09_CC.jpg""]","stimuli/AM06_SUR.jpg","stimuli/HM07_SC.jpg","stimuli/BM16_HO.jpg","stimuli/HF09_CC.jpg","pos2","stimuli/HM07_SC.jpg","SC","HM07","1","3.5","7","8","stimuli/stars_7.png","144.5","[""SUR"",""SC"",""HO"",""CC""]","[""AM06"",""HM07"",""BM16"",""HF09""]","[4,7,3,4]","[6,8,2,4]",""
"show-reward","88","1396847","0.0-88.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1396380.1999999955","1398386.5","","","","","","","","","","","","7","","stimuli/stars_7.png","144.5","","","","","stimuli/HM07_SC.jpg"
"explore-choice","89","1399983","0.0-89.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2631.60000000149","1398388.1999999955","1401019.799999997","[""stimuli/AM06_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/HF09_CC.jpg"",""stimuli/BM16_SC.jpg""]","stimuli/AM06_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/HF09_CC.jpg","stimuli/BM16_SC.jpg","pos4","stimuli/BM16_SC.jpg","SC","BM16","3","5","10","8","stimuli/stars_10.png","149.5","[""SUR"",""HO"",""CC"",""SC""]","[""AM06"",""HM07"",""HF09"",""BM16""]","[8,3,6,10]","[6,2,4,8]",""
"show-reward","90","1401988","0.0-90.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1401525","1403527.8999999985","","","","","","","","","","","","10","","stimuli/stars_10.png","149.5","","","","","stimuli/BM16_SC.jpg"
"explore-choice","91","1406268","0.0-91.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","3775.5","1403529.3999999985","1407304.8999999985","[""stimuli/HF09_SC.jpg"",""stimuli/AM06_HO.jpg"",""stimuli/HM07_SUR.jpg"",""stimuli/BM16_CC.jpg""]","stimuli/HF09_SC.jpg","stimuli/AM06_HO.jpg","stimuli/HM07_SUR.jpg","stimuli/BM16_CC.jpg","pos1","stimuli/HF09_SC.jpg","SC","HF09","0","4","8","8","stimuli/stars_8.png","153.5","[""SC"",""HO"",""SUR"",""CC""]","[""HF09"",""AM06"",""HM07"",""BM16""]","[8,2,7,6]","[8,2,6,4]",""
"show-reward","92","1408276","0.0-92.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1407811.1999999955","1409816.299999997","","","","","","","","","","","","8","","stimuli/stars_8.png","153.5","","","","","stimuli/HF09_SC.jpg"
"explore-choice","93","1410859","0.0-93.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","2077.10000000149","1409817.8999999985","1411895","[""stimuli/BM16_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/AM06_CC.jpg"",""stimuli/HF09_SC.jpg""]","stimuli/BM16_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/AM06_CC.jpg","stimuli/HF09_SC.jpg","pos4","stimuli/HF09_SC.jpg","SC","HF09","3","3","6","8","stimuli/stars_6.png","156.5","[""SUR"",""HO"",""CC"",""SC""]","[""BM16"",""HM07"",""AM06"",""HF09""]","[7,2,3,6]","[6,2,4,8]",""
"show-reward","94","1412867","0.0-94.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1412401.599999994","1414407.6999999955","","","","","","","","","","","","6","","stimuli/stars_6.png","156.5","","","","","stimuli/HF09_SC.jpg"
"explore-choice","95","1417848","0.0-95.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","4476.39999999851","1414409.3999999985","1418885.799999997","[""stimuli/AM06_SC.jpg"",""stimuli/HF09_SUR.jpg"",""stimuli/HM07_HO.jpg"",""stimuli/BM16_CC.jpg""]","stimuli/AM06_SC.jpg","stimuli/HF09_SUR.jpg","stimuli/HM07_HO.jpg","stimuli/BM16_CC.jpg","pos1","stimuli/AM06_SC.jpg","SC","AM06","0","3.5","7","8","stimuli/stars_7.png","160","[""SC"",""SUR"",""HO"",""CC""]","[""AM06"",""HF09"",""HM07"",""BM16""]","[7,4,1,4]","[8,6,2,4]",""
"show-reward","96","1419856","0.0-96.0","p839591","pilot_test","emogo","test_session","emotion","match","uniform","","","","","","","","1419390.8999999985","1421397.099999994","","","","","","","","","","","","7","","stimuli/stars_7.png","160","","","","","stimuli/AM06_SC.jpg"
